count,lon,lat,area
1,-121.9,44.8,"POLYGON((-121.9 44.8,-121.9 44.9,-121.8 44.9,-121.8 44.8,-121.9 44.8))"
19,-122.6,44.9,"POLYGON((-122.6 44.9,-122.6 45.0,-122.5 45.0,-122.5 44.9,-122.6 44.9))"
1,-122.5,44.9,"POLYGON((-122.5 44.9,-122.5 45.0,-122.4 45.0,-122.4 44.9,-122.5 44.9))"
49,-122.8,45.0,"POLYGON((-122.8 45.0,-122.8 45.1,-122.7 45.1,-122.7 45.0,-122.8 45.0))"
509,-122.7,45.0,"POLYGON((-122.7 45.0,-122.7 45.1,-122.6 45.1,-122.6 45.0,-122.7 45.0))"
469,-122.6,45.0,"POLYGON((-122.6 45.0,-122.6 45.1,-122.5 45.1,-122.5 45.0,-122.6 45.0))"
81,-122.5,45.0,"POLYGON((-122.5 45.0,-122.5 45.1,-122.4 45.1,-122.4 45.0,-122.5 45.0))"
2,-122.1,45.0,"POLYGON((-122.1 45.0,-122.1 45.1,-122.0 45.1,-122.0 45.0,-122.1 45.0))"
1,-122.0,45.0,"POLYGON((-122.0 45.0,-122.0 45.1,-121.9 45.1,-121.9 45.0,-122.0 45.0))"
723,-122.8,45.1,"POLYGON((-122.8 45.1,-122.8 45.2,-122.7 45.2,-122.7 45.1,-122.8 45.1))"
987,-122.7,45.1,"POLYGON((-122.7 45.1,-122.7 45.2,-122.6 45.2,-122.6 45.1,-122.7 45.1))"
4294,-122.6,45.1,"POLYGON((-122.6 45.1,-122.6 45.2,-122.5 45.2,-122.5 45.1,-122.6 45.1))"
1137,-122.5,45.1,"POLYGON((-122.5 45.1,-122.5 45.2,-122.4 45.2,-122.4 45.1,-122.5 45.1))"
224,-122.4,45.1,"POLYGON((-122.4 45.1,-122.4 45.2,-122.3 45.2,-122.3 45.1,-122.4 45.1))"
2,-122.3,45.1,"POLYGON((-122.3 45.1,-122.3 45.2,-122.2 45.2,-122.2 45.1,-122.3 45.1))"
1,-122.2,45.1,"POLYGON((-122.2 45.1,-122.2 45.2,-122.1 45.2,-122.1 45.1,-122.2 45.1))"
3,-122.1,45.1,"POLYGON((-122.1 45.1,-122.1 45.2,-122.0 45.2,-122.0 45.1,-122.1 45.1))"
2,-121.9,45.1,"POLYGON((-121.9 45.1,-121.9 45.2,-121.8 45.2,-121.8 45.1,-121.9 45.1))"
279,-122.9,45.2,"POLYGON((-122.9 45.2,-122.9 45.3,-122.8 45.3,-122.8 45.2,-122.9 45.2))"
4601,-122.8,45.2,"POLYGON((-122.8 45.2,-122.8 45.3,-122.7 45.3,-122.7 45.2,-122.8 45.2))"
7320,-122.7,45.2,"POLYGON((-122.7 45.2,-122.7 45.3,-122.6 45.3,-122.6 45.2,-122.7 45.2))"
2415,-122.6,45.2,"POLYGON((-122.6 45.2,-122.6 45.3,-122.5 45.3,-122.5 45.2,-122.6 45.2))"
1047,-122.5,45.2,"POLYGON((-122.5 45.2,-122.5 45.3,-122.4 45.3,-122.4 45.2,-122.5 45.2))"
2766,-122.4,45.2,"POLYGON((-122.4 45.2,-122.4 45.3,-122.3 45.3,-122.3 45.2,-122.4 45.2))"
